Service,Oct 2025 ($),Nov 2025 ($),Dec 2025 ($),Jan 2026 ($),Feb 2026 ($),Mar 2026 ($)
Elastic Compute Cloud,10000,10500,11000,11200,11800,12000
ElastiCache,3000,2800,2600,2500,2400,2300
Relational Database Service,2000,2100,2200,2300,2400,2500
Simple Queue Service,800,850,900,950,1000,1050
Elastic Load Balancing,600,620,640,660,680,700
Simple Storage Service,400,420,440,460,480,500
CloudWatch,500,480,460,440,420,400
Glue,300,320,340,360,380,400
GuardDuty,200,210,220,230,240,250
Virtual Private Cloud,150,155,160,165,170,175
Kinesis,100,105,110,115,120,125
Kinesis Firehose,80,85,90,95,100,105
Simple Notification Service,50,52,54,56,58,60
Elastic Container Service,10,10,11,11,12,12
EC2 Container Registry (ECR),20,21,22,23,24,25
Key Management Service,15,15,16,16,17,17
Secrets Manager,5,5,5,5,5,5
Route 53,30,31,32,33,34,35
Lambda,8,8,9,9,10,10
DynamoDB,25,26,27,28,29,30
Bedrock AgentCore,0,0,0,0,5,12
